,andre romelle young,bruno beausir,bruno lopes,didier morville,dwayne johnson,elie yaffa,gary grice,marshal mathers,mathias crochon,patrick benguigui,shawn corey carter
booba,0.0,0.0,0.0,0.0,0.0,0.18421120823355577,0.0,0.0,0.0,0.0,0.0
doc gyneco,0.0,0.3120674684087071,0.14381558488020146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dr dre,0.155166357643494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eminem,0.03789444392239601,0.0,0.0,0.0,0.0,0.0,0.0,0.340106684438042,0.0,0.0,0.0
gza,0.0,0.0,0.0,0.0,0.0,0.0,0.1815164081131964,0.0,0.0,0.0,0.0
jay-z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15342330660676945
joey starr,0.0,0.0,0.0,0.1531743756683226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kool shen,0.0,0.0457268548291737,0.09922334798915924,0.08728525336901537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patrick bruel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7852465101883964,0.0
rockin squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13915004603278067,0.0,0.0
the rock,0.06571358727470553,0.04090696136290319,0.051119030583081385,0.02162332491955802,0.3103778505035389,0.03250591680298178,0.07687294145128586,0.0,0.07857415170938484,0.0,0.07580463103444733
